"","tract","mean_value","var"
"164","48453001781",8.15815241268252,"PM2.5"
"165","48453001782",7.94498795388097,"PM2.5"
"166","48453001783",7.5933576735269,"PM2.5"
"167","48453001784",6.88474009854667,"PM2.5"
"168","48453001785",8.32692648420464,"PM2.5"
"169","48453001786",8.37585363102711,"PM2.5"
"170","48453001804",9.12196390944621,"PM2.5"
"171","48453001805",9.31635669179884,"PM2.5"
"172","48453001806",8.78109888675197,"PM2.5"
"173","48453001811",8.53135144250577,"PM2.5"
"174","48453001812",8.85728466801509,"PM2.5"
"175","48453001813",8.36973188769938,"PM2.5"
"176","48453001817",9.53652299287077,"PM2.5"
"177","48453001818",9.71474403645661,"PM2.5"
"178","48453001819",9.09077980967228,"PM2.5"
"179","48453001820",9.22803382492126,"PM2.5"
"180","48453001821",9.44694884720787,"PM2.5"
"181","48453001822",9.06026205164737,"PM2.5"
"182","48453001823",8.57011031651897,"PM2.5"
"183","48453001824",8.41919875184656,"PM2.5"
"184","48453001826",8.49572898927138,"PM2.5"
"185","48453001828",8.93339743770289,"PM2.5"
"186","48453001829",9.09863473258539,"PM2.5"
"187","48453001832",8.52639011307265,"PM2.5"
"188","48453001833",8.51353142809856,"PM2.5"
"189","48453001834",8.18816649151388,"PM2.5"
"190","48453001835",8.39571591281629,"PM2.5"
"191","48453001839",8.53590903346992,"PM2.5"
"192","48453001840",8.45537551589036,"PM2.5"
"193","48453001841",8.757435259599,"PM2.5"
"194","48453001842",8.27530929904987,"PM2.5"
"195","48453001843",9.35555509604105,"PM2.5"
"196","48453001844",8.86411862440343,"PM2.5"
"197","48453001845",8.73342060976245,"PM2.5"
"198","48453001846",8.80156122755448,"PM2.5"
"199","48453001847",9.05307759810765,"PM2.5"
"200","48453001848",9.18044189531071,"PM2.5"
"201","48453001849",8.97315396977508,"PM2.5"
"202","48453001850",8.93709474074191,"PM2.5"
"203","48453001851",8.63696298414168,"PM2.5"
"204","48453001853",8.66197765733173,"PM2.5"
"205","48453001854",7.51220631226087,"PM2.5"
"206","48453001855",8.71035582086275,"PM2.5"
"207","48453001856",7.5437246810129,"PM2.5"
"208","48453001857",8.71740366716346,"PM2.5"
"209","48453001858",8.18886829770659,"PM2.5"
"210","48453001859",7.70072126088632,"PM2.5"
"211","48453001860",8.73222286479394,"PM2.5"
"212","48453001861",9.01310301695969,"PM2.5"
"213","48453001862",8.93165896222392,"PM2.5"
"214","48453001863",8.58885476956839,"PM2.5"
"215","48453001864",8.71921687813871,"PM2.5"
"216","48453001901",8.59781402132487,"PM2.5"
"217","48453001908",7.17102394413292,"PM2.5"
"218","48453001910",8.31123471240632,"PM2.5"
"219","48453001911",8.12975611628693,"PM2.5"
"220","48453001912",7.60992088175111,"PM2.5"
"221","48453001913",7.85723167851284,"PM2.5"
"222","48453001914",7.73324073937661,"PM2.5"
"223","48453001915",7.53400871341048,"PM2.5"
"224","48453001916",7.19028589011963,"PM2.5"
"225","48453001917",7.63651816151862,"PM2.5"
"226","48453001918",8.07523878158243,"PM2.5"
"227","48453001919",8.26329538754307,"PM2.5"
"228","48453002002",9.11202741779361,"PM2.5"
"229","48453002003",9.17973238820785,"PM2.5"
"230","48453002004",8.51449845741325,"PM2.5"
"231","48453002005",9.01910940351315,"PM2.5"
"232","48453002104",9.12378720481046,"PM2.5"
"233","48453002105",9.08261946832109,"PM2.5"
"234","48453002106",8.83856461782985,"PM2.5"
"235","48453002107",8.28887784232864,"PM2.5"
"236","48453002108",7.94425291868419,"PM2.5"
"237","48453002109",8.63305397148542,"PM2.5"
"238","48453002110",8.62570078561451,"PM2.5"
"239","48453002111",8.81709932003463,"PM2.5"
"240","48453002112",8.51929636171188,"PM2.5"
"241","48453002113",8.53316456271898,"PM2.5"
"242","48453002201",8.08882528072391,"PM2.5"
"243","48453002202",8.01617568492751,"PM2.5"
"244","48453002207",7.71841597979363,"PM2.5"
"245","48453002208",8.02002094045631,"PM2.5"
"246","48453002209",7.486811848856,"PM2.5"
"247","48453002210",6.68355588474522,"PM2.5"
"248","48453002211",7.50636989189189,"PM2.5"
"249","48453002212",7.40551821869489,"PM2.5"
"250","48453002304",8.4091367802385,"PM2.5"
"251","48453002307",8.59688500461127,"PM2.5"
"252","48453002308",8.54611554574897,"PM2.5"
"253","48453002310",8.02789785024154,"PM2.5"
"254","48453002312",8.45838597081995,"PM2.5"
"255","48453002313",8.32293720742668,"PM2.5"
"256","48453002314",8.21895602628394,"PM2.5"
"257","48453002315",8.33696832686335,"PM2.5"
"258","48453002316",8.25319606545022,"PM2.5"
"259","48453002317",7.99869601929093,"PM2.5"
"260","48453002318",8.50028994094513,"PM2.5"
"261","48453002319",7.83086515681234,"PM2.5"
"262","48453002402",8.7415375201243,"PM2.5"
"263","48453002403",8.76306574600351,"PM2.5"
"264","48453002407",8.00740939814892,"PM2.5"
"265","48453002409",9.40155328000564,"PM2.5"
"266","48453002410",9.05741031153111,"PM2.5"
"267","48453002411",8.72828432635532,"PM2.5"
"268","48453002412",8.682403187523,"PM2.5"
"269","48453002413",8.37698544603425,"PM2.5"
"270","48453002419",8.04858894304657,"PM2.5"
